timestamp | canal | status | ticker | protocolo | categoria | assunto | detalhe
2026-07-30 10:05:25 | email | OK | AFYA | 0001292814-26-003962 | SEC 6-K | 6-K | 
2026-07-30 10:05:26 | telegram | OK | AFYA | 0001292814-26-003962 | SEC 6-K | 6-K | 
2026-07-30 12:05:33 | email | OK | ONCO3 | 1549576 | Aviso aos Acionistas | Alteração no exercício do bônus de subscrição. | 
2026-07-30 12:05:34 | telegram | OK | ONCO3 | 1549576 | Aviso aos Acionistas | Alteração no exercício do bônus de subscrição. | 
2026-07-31 22:50:21 | email | OK | VIVT3 | 1550766 | Fato Relevante | Incorporação Fibrasil | 
2026-07-31 22:50:22 | telegram | OK | VIVT3 | 1550766 | Fato Relevante | Incorporação Fibrasil | 
2026-08-03 12:55:25 | email | OK | ONCO3 | 1550853 | Fato Relevante | Formalização Venda de Participação (Arábia Saudita) | 
2026-08-03 12:55:25 | telegram | OK | ONCO3 | 1550853 | Fato Relevante | Formalização Venda de Participação (Arábia Saudita) | 
2026-08-03 13:00:39 | email | OK | ONCO3 | 1550854 | Fato Relevante | Acordo Unimed | 
2026-08-03 13:00:40 | telegram | OK | ONCO3 | 1550854 | Fato Relevante | Acordo Unimed | 
2026-08-03 20:25:25 | email | OK | ONCO3 | 1551077 | Fato Relevante | Acordo Unimed | 
2026-08-03 20:25:26 | email | OK | ONCO3 | 1551076 | Fato Relevante | Formalização Venda de Participação (Arábia Saudita) | 
2026-08-03 20:25:26 | telegram | OK | ONCO3 | 1551077 | Fato Relevante | Acordo Unimed | 
2026-08-03 20:25:27 | telegram | OK | ONCO3 | 1551076 | Fato Relevante | Formalização Venda de Participação (Arábia Saudita) | 
2026-08-05 12:20:25 | email | OK | ONCO3 | 1552285 | Fato Relevante | Deferimento do Pedido de Recuperação Extrajudicial | 
2026-08-05 12:20:25 | telegram | OK | ONCO3 | 1552285 | Fato Relevante | Deferimento do Pedido de Recuperação Extrajudicial | chat 1496332324
2026-08-05 12:20:26 | telegram | OK | ONCO3 | 1552285 | Fato Relevante | Deferimento do Pedido de Recuperação Extrajudicial | chat 8369248929
2026-08-06 21:52:17 | email | OK | FLRY3 | 1553645 | Dados Econômico-Financeiros | DF versão inglês | 
2026-08-06 21:52:18 | email | OK | FLRY3 | 1553658 | Dados Econômico-Financeiros | Press-release 2T26 | 
2026-08-06 21:52:19 | email | OK | FLRY3 | 1553660 | Comunicado ao Mercado | Apresentação de Resultados 2T26 | 
2026-08-06 21:52:19 | email | OK | HYPE3 | 1553678 | Dados Econômico-Financeiros | Press Release 2T26 (PORT e ENG) | 
2026-08-06 21:52:20 | email | OK | FLRY3 | 1553704 | Aviso aos Acionistas | Dividendos/Juros sobre Capital Próprio | 
2026-08-06 21:52:21 | email | OK | FLRY3 | 1553649 | Dados Econômico-Financeiros | DF versão português | 
2026-08-06 21:52:21 | telegram | OK | FLRY3 | 1553645 | Dados Econômico-Financeiros | DF versão inglês | chat 1496332324
2026-08-06 21:52:22 | telegram | OK | FLRY3 | 1553645 | Dados Econômico-Financeiros | DF versão inglês | chat 8369248929
2026-08-06 21:52:23 | telegram | OK | FLRY3 | 1553658 | Dados Econômico-Financeiros | Press-release 2T26 | chat 1496332324
2026-08-06 21:52:23 | telegram | OK | FLRY3 | 1553658 | Dados Econômico-Financeiros | Press-release 2T26 | chat 8369248929
2026-08-06 21:52:24 | telegram | OK | FLRY3 | 1553660 | Comunicado ao Mercado | Apresentação de Resultados 2T26 | chat 1496332324
2026-08-06 21:52:24 | telegram | OK | FLRY3 | 1553660 | Comunicado ao Mercado | Apresentação de Resultados 2T26 | chat 8369248929
2026-08-06 21:52:25 | telegram | OK | HYPE3 | 1553678 | Dados Econômico-Financeiros | Press Release 2T26 (PORT e ENG) | chat 1496332324
2026-08-06 21:52:26 | telegram | OK | HYPE3 | 1553678 | Dados Econômico-Financeiros | Press Release 2T26 (PORT e ENG) | chat 8369248929
2026-08-06 21:52:26 | telegram | OK | FLRY3 | 1553704 | Aviso aos Acionistas | Dividendos/Juros sobre Capital Próprio | chat 1496332324
2026-08-06 21:52:27 | telegram | OK | FLRY3 | 1553704 | Aviso aos Acionistas | Dividendos/Juros sobre Capital Próprio | chat 8369248929
2026-08-06 21:52:28 | telegram | OK | FLRY3 | 1553649 | Dados Econômico-Financeiros | DF versão português | chat 1496332324
2026-08-06 21:52:28 | telegram | OK | FLRY3 | 1553649 | Dados Econômico-Financeiros | DF versão português | chat 8369248929
2026-08-07 11:50:32 | email | OK | HYPE3 | 1553909 | Comunicado ao Mercado | Apresentação de Resultados do 2T26; Apresentação de Resultados do 2T26 | 
2026-08-07 11:50:33 | telegram | OK | HYPE3 | 1553909 | Comunicado ao Mercado | Apresentação de Resultados do 2T26; Apresentação de Resultados do 2T26 | chat 1496332324
2026-08-07 11:50:34 | telegram | OK | HYPE3 | 1553909 | Comunicado ao Mercado | Apresentação de Resultados do 2T26; Apresentação de Resultados do 2T26 | chat 8369248929
2026-08-10 22:30:26 | email | OK | FLRY3 | 1555402 | Comunicado ao Mercado | 11ª Emissão de Debêntures | 
2026-08-10 22:30:27 | telegram | OK | FLRY3 | 1555402 | Comunicado ao Mercado | 11ª Emissão de Debêntures | chat 1496332324
2026-08-10 22:30:27 | telegram | OK | FLRY3 | 1555402 | Comunicado ao Mercado | 11ª Emissão de Debêntures | chat 8369248929
2026-08-10 22:50:35 | email | OK | FLRY3 | 1555429 | Dados Econômico-Financeiros | 11ª Emissão de Debêntures | 
